what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393007834541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393007834788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007836756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007847530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1393007849431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393007852501
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393007852919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393007853205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007853958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007860810
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393007863299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393007863535
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393007864667
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393007868455
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393007880517
error,log,,,"Unhandled event loop exception",1393007886114
error,log,,,"Unhandled event loop exception",1393007886482
error,log,,,"Unhandled event loop exception",1393007887008
error,log,,,"Unhandled event loop exception",1393007887572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007889235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007895971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393007897752
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393007912620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393007912911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007913631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007917872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007919190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007930385
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393007932172
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393007933394
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1393007937719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393007937900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007939151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393007942906
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1393007944473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393007944676
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393007947628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393007947853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393007964968
error,log,,,"Unhandled event loop exception",1393007972081
error,log,,,"Unhandled event loop exception",1393007972131
error,log,,,"Unhandled event loop exception",1393007974973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393007978246
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393007979137
