what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013577746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013580819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013581305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013583564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393013586420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013587564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013596648
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393013616723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393013617330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393013634113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393013638938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013640925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013665023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393013672154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013673613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013675635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013676224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013677684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393013686429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013687391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013688578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013688999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393013692212
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393013707775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393013708011
